Index,No Importa, yL,xL
168,2034.00 DATA,2032.9,2034.00 
169,2032.00 DATA,2033.0,2032.00 
170,2032.00 DATA,2033.0,2032.00 
171,2032.00 DATA,2032.9,2032.00 
172,2032.00 DATA,2032.8,2032.00 
173,2034.00 DATA,2032.6,2034.00 
174,2034.00 DATA,2032.6,2034.00 
175,2032.00 DATA,2032.7,2032.00 
176,2034.00 DATA,2032.8,2034.00 
177,2032.00 DATA,2032.9,2032.00 
178,2034.00 DATA,2032.8,2034.00 
179,2034.00 DATA,2032.9,2034.00 
180,2032.00 DATA,2033.1,2032.00 
181,2032.00 DATA,2033.2,2032.00 
182,2034.00 DATA,2033.2,2034.00 
183,2032.00 DATA,2033.2,2032.00 
184,2034.00 DATA,2033.1,2034.00 
185,2034.00 DATA,2033.0,2034.00 
186,2032.00 DATA,2033.0,2032.00 
187,2034.00 DATA,2033.0,2034.00 
188,2034.00 DATA,2033.0,2034.00 
189,2034.00 DATA,2033.0,2034.00 
190,2036.00 DATA,2033.2,2036.00 
191,2036.00 DATA,2033.4,2036.00 
192,2036.00 DATA,2033.7,2036.00 
193,2036.00 DATA,2034.0,2036.00 
194,2036.00 DATA,2034.3,2036.00 
195,2034.00 DATA,2034.5,2034.00 
196,2036.00 DATA,2034.6,2036.00 
197,2036.00 DATA,2034.8,2036.00 
198,2036.00 DATA,2034.8,2036.00 
199,2036.00 DATA,2034.8,2036.00 
200,2036.00 DATA,2034.8,2036.00 
201,2036.00 DATA,2034.8,2036.00 
202,2036.00 DATA,2034.8,2036.00 
203,2036.00 DATA,2034.8,2036.00 
204,2034.00 DATA,2034.8,2034.00 
205,2034.00 DATA,2034.9,2034.00 
206,2034.00 DATA,2034.9,2034.00 
207,2034.00 DATA,2034.8,2034.00 
208,2036.00 DATA,2034.7,2036.00 
209,2034.00 DATA,2034.6,2034.00 
210,2038.00 DATA,2034.6,2038.00 
211,2036.00 DATA,2034.8,2036.00 
212,2036.00 DATA,2035.0,2036.00 
213,2034.00 DATA,2035.1,2034.00 
214,2036.00 DATA,2035.1,2036.00 
215,2036.00 DATA,2035.2,2036.00 
216,2036.00 DATA,2035.2,2036.00 
217,2032.00 DATA,2035.2,2032.00 
218,2032.00 DATA,2034.9,2032.00 
219,2032.00 DATA,2034.3,2032.00 
220,2032.00 DATA,2033.7,2032.00 
221,2032.00 DATA,2033.2,2032.00 
222,2032.00 DATA,2032.9,2032.00 
223,2032.00 DATA,2032.8,2032.00 
224,2034.00 DATA,2032.6,2034.00 
225,2032.00 DATA,2032.6,2032.00 
226,2032.00 DATA,2032.5,2032.00 
227,2028.00 DATA,2032.3,2028.00 
228,2028.00 DATA,2031.7,2028.00 
229,2024.00 DATA,2030.8,2024.00 
230,2030.00 DATA,2029.6,2030.00 
231,2032.00 DATA,2028.7,2032.00 
232,2030.00 DATA,2028.2,2030.00 
233,2028.00 DATA,2028.0,2028.00 
234,2028.00 DATA,2027.8,2028.00 
235,2028.00 DATA,2027.8,2028.00 
236,2030.00 DATA,2028.0,2030.00 
237,2030.00 DATA,2028.1,2030.00 
238,2026.00 DATA,2028.2,2026.00 
239,2026.00 DATA,2028.1,2026.00 
240,2028.00 DATA,2027.8,2028.00 
241,2028.00 DATA,2027.6,2028.00 
242,2028.00 DATA,2027.4,2028.00 
243,2030.00 DATA,2027.5,2030.00 
244,2032.00 DATA,2027.8,2032.00 
245,2032.00 DATA,2028.4,2032.00 
246,2032.00 DATA,2029.1,2032.00 
247,2032.00 DATA,2029.8,2032.00 
248,2032.00 DATA,2030.4,2032.00 
249,2032.00 DATA,2030.9,2032.00 
250,2032.00 DATA,2031.2,2032.00 
251,2032.00 DATA,2031.4,2032.00 
252,2032.00 DATA,2031.5,2032.00 
253,2032.00 DATA,2031.6,2032.00 
254,2032.00 DATA,2031.6,2032.00 
255,2032.00 DATA,2031.5,2032.00 
256,2032.00 DATA,2031.5,2032.00 
257,2032.00 DATA,2031.5,2032.00 
258,2032.00 DATA,2031.6,2032.00 
259,2034.00 DATA,2031.7,2034.00 
260,2032.00 DATA,2031.8,2032.00 
261,2032.00 DATA,2032.0,2032.00 
262,2034.00 DATA,2032.2,2034.00 
263,2028.00 DATA,2032.2,2028.00 
264,2030.00 DATA,2031.8,2030.00 
265,2030.00 DATA,2031.4,2030.00 
266,2036.00 DATA,2031.1,2036.00 
267,2034.00 DATA,2031.5,2034.00 
268,2034.00 DATA,2032.0,2034.00 
269,2034.00 DATA,2032.6,2034.00 
270,2032.00 DATA,2032.9,2032.00 
271,2034.00 DATA,2033.1,2034.00 
272,2034.00 DATA,2033.2,2034.00 
273,2034.00 DATA,2033.2,2034.00 
274,2032.00 DATA,2033.2,2032.00 
275,2032.00 DATA,2033.0,2032.00 
276,2032.00 DATA,2032.8,2032.00 
277,2034.00 DATA,2032.5,2034.00 
278,2034.00 DATA,2032.4,2034.00 
279,2032.00 DATA,2032.5,2032.00 
280,2034.00 DATA,2032.4,2034.00 
281,2032.00 DATA,2032.5,2032.00 
282,2034.00 DATA,2032.5,2034.00 
283,2034.00 DATA,2032.6,2034.00 
284,2034.00 DATA,2032.7,2034.00 
285,2032.00 DATA,2032.9,2032.00 
286,2034.00 DATA,2033.0,2034.00 
287,2034.00 DATA,2033.2,2034.00 
288,2034.00 DATA,2033.4,2034.00 
289,2034.00 DATA,2033.5,2034.00 
290,2034.00 DATA,2033.7,2034.00 
291,2034.00 DATA,2033.8,2034.00 
292,2032.00 DATA,2033.9,2032.00 
293,2034.00 DATA,2033.9,2034.00 
294,2034.00 DATA,2033.8,2034.00 
295,2034.00 DATA,2033.8,2034.00 
296,2034.00 DATA,2033.8,2034.00 
297,2034.00 DATA,2033.8,2034.00 
298,2030.00 DATA,2033.5,2030.00 
299,2032.00 DATA,2033.0,2032.00 
300,2030.00 DATA,2032.3,2030.00 
301,2028.00 DATA,2031.6,2028.00 
302,2030.00 DATA,2031.0,2030.00 
303,2032.00 DATA,2030.5,2032.00 
304,2032.00 DATA,2030.4,2032.00 
305,2032.00 DATA,2030.4,2032.00 
306,2032.00 DATA,2030.5,2032.00 
307,2032.00 DATA,2030.7,2032.00 
308,2034.00 DATA,2030.9,2034.00 
309,2034.00 DATA,2031.2,2034.00 
310,2034.00 DATA,2031.6,2034.00 
311,2034.00 DATA,2031.9,2034.00 
312,2034.00 DATA,2032.2,2034.00 
313,2034.00 DATA,2032.4,2034.00 
314,2032.00 DATA,2032.6,2032.00 
315,2034.00 DATA,2032.7,2034.00 
316,2034.00 DATA,2032.8,2034.00 
317,2034.00 DATA,2032.8,2034.00 
318,2032.00 DATA,2032.9,2032.00 
319,2034.00 DATA,2032.9,2034.00 
320,2032.00 DATA,2032.9,2032.00 
321,2032.00 DATA,2032.8,2032.00 
322,2032.00 DATA,2032.7,2032.00 
323,2030.00 DATA,2032.5,2030.00 
324,2032.00 DATA,2032.2,2032.00 
325,2032.00 DATA,2031.9,2032.00 
326,2032.00 DATA,2031.8,2032.00 
327,2032.00 DATA,2031.8,2032.00 
328,2032.00 DATA,2031.7,2032.00 
329,2032.00 DATA,2031.6,2032.00 
330,2032.00 DATA,2031.5,2032.00 
331,2032.00 DATA,2031.5,2032.00 
332,2032.00 DATA,2031.6,2032.00 
333,2032.00 DATA,2031.6,2032.00 
334,2032.00 DATA,2031.7,2032.00 
335,2032.00 DATA,2031.6,2032.00 
336,2032.00 DATA,2031.6,2032.00 
337,2032.00 DATA,2031.5,2032.00 
338,2032.00 DATA,2031.5,2032.00 
339,2034.00 DATA,2031.5,2034.00 
340,2032.00 DATA,2031.6,2032.00 
341,2034.00 DATA,2031.7,2034.00 
342,2032.00 DATA,2031.8,2032.00 
343,2032.00 DATA,2031.8,2032.00 
344,2034.00 DATA,2031.9,2034.00 
345,2032.00 DATA,2032.0,2032.00 
346,2032.00 DATA,2032.1,2032.00 
347,2032.00 DATA,2032.3,2032.00 
348,2034.00 DATA,2032.3,2034.00 
349,2034.00 DATA,2032.4,2034.00 
350,2034.00 DATA,2032.4,2034.00 
351,2032.00 DATA,2032.5,2032.00 
352,2034.00 DATA,2032.4,2034.00 
353,2034.00 DATA,2032.4,2034.00 
354,2032.00 DATA,2032.4,2032.00 
355,2032.00 DATA,2032.4,2032.00 
356,2032.00 DATA,2032.3,2032.00 
357,2032.00 DATA,2032.2,2032.00 
358,2032.00 DATA,2032.2,2032.00 
359,2032.00 DATA,2032.2,2032.00 
360,2032.00 DATA,2032.1,2032.00 
361,2032.00 DATA,2032.1,2032.00 
362,2032.00 DATA,2032.1,2032.00 
363,2032.00 DATA,2032.0,2032.00 
364,2034.00 DATA,2031.9,2034.00 
365,2034.00 DATA,2032.0,2034.00 
366,2032.00 DATA,2032.1,2032.00 
367,2034.00 DATA,2032.1,2034.00 
368,2034.00 DATA,2032.2,2034.00 
369,2032.00 DATA,2032.2,2032.00 
370,2032.00 DATA,2032.1,2032.00 
371,2034.00 DATA,2032.1,2034.00 
372,2034.00 DATA,2032.1,2034.00 
373,2032.00 DATA,2032.2,2032.00 
374,2032.00 DATA,2032.3,2032.00 
375,2032.00 DATA,2032.3,2032.00 
376,2034.00 DATA,2032.3,2034.00 
377,2032.00 DATA,2032.3,2032.00 
378,2032.00 DATA,2032.3,2032.00 
379,2034.00 DATA,2032.3,2034.00 
380,2032.00 DATA,2032.3,2032.00 
381,2034.00 DATA,2032.3,2034.00 
382,2034.00 DATA,2032.4,2034.00 
383,2034.00 DATA,2032.4,2034.00 
384,2032.00 DATA,2032.5,2032.00 
385,2032.00 DATA,2032.5,2032.00 
386,2034.00 DATA,2032.4,2034.00 
387,2032.00 DATA,2032.4,2032.00 
388,2034.00 DATA,2032.4,2034.00 
389,2032.00 DATA,2032.4,2032.00 
390,2032.00 DATA,2032.3,2032.00 
391,2034.00 DATA,2032.3,2034.00 
392,2032.00 DATA,2032.2,2032.00 
393,2032.00 DATA,2032.2,2032.00 
394,2032.00 DATA,2032.0,2032.00 
395,2032.00 DATA,2031.9,2032.00 
396,2032.00 DATA,2031.8,2032.00 
397,2032.00 DATA,2031.8,2032.00 
398,2032.00 DATA,2031.8,2032.00 
399,2032.00 DATA,2031.8,2032.00 
400,2032.00 DATA,2031.8,2032.00 
401,2034.00 DATA,2031.8,2034.00 
402,2032.00 DATA,2031.8,2032.00 
403,2032.00 DATA,2031.9,2032.00 
404,2032.00 DATA,2032.0,2032.00 
405,2032.00 DATA,2032.0,2032.00 
406,2032.00 DATA,2031.9,2032.00 
407,2032.00 DATA,2031.9,2032.00 
408,2034.00 DATA,2031.9,2034.00 
409,2032.00 DATA,2032.0,2032.00 
410,2032.00 DATA,2032.0,2032.00 
411,2032.00 DATA,2032.1,2032.00 
412,2032.00 DATA,2032.1,2032.00 
413,2032.00 DATA,2032.1,2032.00 
414,2032.00 DATA,2032.1,2032.00 
415,2032.00 DATA,2032.0,2032.00 
416,2032.00 DATA,2032.0,2032.00 
417,2032.00 DATA,2032.0,2032.00 
418,2032.00 DATA,2032.1,2032.00 
419,2032.00 DATA,2032.1,2032.00 
420,2032.00 DATA,2032.0,2032.00 
421,2032.00 DATA,2031.9,2032.00 
422,2032.00 DATA,2031.8,2032.00 
423,2032.00 DATA,2031.8,2032.00 
424,2032.00 DATA,2031.9,2032.00 
425,2032.00 DATA,2031.9,2032.00 
426,2032.00 DATA,2031.9,2032.00 
427,2032.00 DATA,2031.8,2032.00 
428,2034.00 DATA,2031.8,2034.00 
429,2032.00 DATA,2031.8,2032.00 
430,2032.00 DATA,2031.8,2032.00 
431,2032.00 DATA,2031.8,2032.00 
432,2032.00 DATA,2031.8,2032.00 
433,2032.00 DATA,2031.8,2032.00 
434,2034.00 DATA,2031.8,2034.00 
435,2034.00 DATA,2031.9,2034.00 
436,2032.00 DATA,2032.0,2032.00 
437,2034.00 DATA,2032.1,2034.00 
438,2032.00 DATA,2032.2,2032.00 
439,2034.00 DATA,2032.3,2034.00 
440,2032.00 DATA,2032.3,2032.00 
